id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
6nRhmifOuJbqEeWofgyo4B,0.691,0.646,0.543,0.0127,0.238,-7.065,0.0292,150.053,0.967
2xgnTqh4VipHycDrzUv2s7,0.57,0.277,0.136,0.595,0.187,-13.113,0.0486,89.066,0.203
7fm6LShF3yl3pevyUtq67v,0.938,0.601,0.247,0.872,0.363,-17.785,0.045,148.516,0.373
2fA6J1uSMPjxnwRFg7iZIX,0.287,0.74,0.838,0.000361,0.137,-6.558,0.0971,102.359,0.413
7DqTaelFf846rl1CHmyfOW,0.842,0.506,0.433,0.0311,0.112,-14.183,0.0345,83.222,0.641
4dTvi1yZLKocZicwuU7nax,0.0162,0.741,0.667,0.933,0.222,-9.75,0.0328,131.073,0.76
05wWHy7q9ScbIvLMDZtTn8,0.922,0.184,0.125,0.0228,0.0596,-9.291,0.036,88.717,0.0852
6kXfajPTXe0KcOxfzxeT3O,0.0194,0.598,0.525,0.00216,0.534,-10.59,0.0826,125.347,0.667
6NzhUKCZNIOTCY5maTeHVk,0.863,0.588,0.243,0.124,0.117,-10.962,0.0596,61.025,0.447
1DtYyaE4uRH8cIx8idc3w8,0.0179,0.81,0.426,0.882,0.0558,-16.106,0.138,73.262,0.903
7zLgL7l9swkJRjm9bfZZ1c,0.887,0.909,0.493,0.000483,0.0922,-8.758,0.0448,133.02,0.91
1MN5gnxpy3GeSFoldiWwGu,0.616,0.755,0.701,0.00118,0.191,-8.408,0.0507,108.996,0.735
7rF0L4W6kYID2JLgMiMDFK,0.689,0.804,0.565,0.000189,0.0848,-10.652,0.0641,151.128,0.887
6CK1pSiUzo8xw2TnNhMpeO,0.978,0.205,0.323,0.00242,0.105,-12.419,0.032,85.335,0.0387
3YrIjupEa0IWX0LZcqdEaU,0.785,0.604,0.652,0.506,0.242,-6.571,0.0296,124.033,0.163
